M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
9,6.5,11,5,AMJ,27.633784666666667,0.5958712926533327
10,6.5,11,5,AMJ,27.625672333333334,0.8038105090047134
1,6.5,12,6,MJJ,27.480730666666666,0.8402248227512628
2,6.5,12,6,MJJ,27.404714666666667,0.6285685084809184
3,6.5,12,6,MJJ,27.248503333333336,0.46188087949885104
4,6.5,12,6,MJJ,27.524962000000002,0.9492999343337908
5,6.5,12,6,MJJ,27.395717666666666,0.878420666073679
6,6.5,12,6,MJJ,27.47621033333333,0.8931831839205737
7,6.5,12,6,MJJ,27.367313666666668,0.929206688948161
8,6.5,12,6,MJJ,27.489668666666667,0.7990389838119539
9,6.5,12,6,MJJ,27.384297333333333,0.6753447375443681
10,6.5,12,6,MJJ,27.340591,0.7684232448231022
1,7.5,1,8,JAS,25.851317333333334,1.60557850731678
2,7.5,1,8,JAS,25.915665666666666,1.4663495476254036
3,7.5,1,8,JAS,25.950832,1.593972168926894
4,7.5,1,8,JAS,25.749007333333335,1.330069986068506
5,7.5,1,8,JAS,25.732869666666666,1.3869210377688506
6,7.5,1,8,JAS,25.88594833333333,1.15802798821437
7,7.5,1,8,JAS,25.939955666666666,1.374054309094368
8,7.5,1,8,JAS,26.087742333333335,1.2651682159771218
9,7.5,1,8,JAS,25.887538,1.3414897550717244
10,7.5,1,8,JAS,25.855818,1.8300863657268949
1,7.5,2,9,ASO,24.95970133333333,1.5318427708188496
2,7.5,2,9,ASO,24.858176,1.888554529362754
3,7.5,2,9,ASO,24.870251,1.706871625354142
4,7.5,2,9,ASO,24.866199333333334,1.567313490909883
5,7.5,2,9,ASO,25.084445000000002,1.8244480311982783
6,7.5,2,9,ASO,24.989962666666667,1.6757213430340219
7,7.5,2,9,ASO,24.923544333333332,2.054008012080572
8,7.5,2,9,ASO,25.009580000000003,1.6831754294137906
9,7.5,2,9,ASO,25.096409333333334,1.85778005529609
10,7.5,2,9,ASO,25.077522666666667,1.9013103581098845
1,7.5,3,10,SON,25.01588333333333,2.5466470133954013
2,7.5,3,10,SON,24.974883666666663,2.3484901999619505
3,7.5,3,10,SON,24.8583,2.1759601908551724
4,7.5,3,10,SON,25.09736,3.0165747809379346
5,7.5,3,10,SON,24.909472666666666,2.2379807977788553
6,7.5,3,10,SON,24.832191333333334,2.9056985865429916
7,7.5,3,10,SON,25.128553333333333,2.1481025681126424
8,7.5,3,10,SON,25.185704666666666,2.848934695280922
9,7.5,3,10,SON,24.957683999999997,2.3423961007765546
10,7.5,3,10,SON,24.718680000000003,1.6948109313034463
1,7.5,4,11,OND,25.123298,2.504420453216553
2,7.5,4,11,OND,25.132210666666666,2.817750443716783
3,7.5,4,11,OND,25.110549666666667,2.241468916037818
4,7.5,4,11,OND,25.27119533333333,2.334539607991265
5,7.5,4,11,OND,25.066360666666665,2.028002321040922
6,7.5,4,11,OND,25.031670666666667,2.7633538346064377
7,7.5,4,11,OND,25.115514666666666,2.3544207155567842
8,7.5,4,11,OND,25.42539833333333,2.237661938000572
9,7.5,4,11,OND,25.044010333333333,2.647369476472301
10,7.5,4,11,OND,24.965215666666666,1.8554820888874686
1,7.5,5,12,NDJ,25.319844,2.802185213893796
2,7.5,5,12,NDJ,25.201319666666667,2.5105247243067796
3,7.5,5,12,NDJ,25.191152666666667,2.2973734932753973
4,7.5,5,12,NDJ,25.21142133333333,2.912756912046434
5,7.5,5,12,NDJ,25.184251333333336,2.7071309184878114
6,7.5,5,12,NDJ,25.225238,2.7603700215337956
7,7.5,5,12,NDJ,25.148643666666665,2.182392996982646
8,7.5,5,12,NDJ,25.307811666666666,3.23591880936609
9,7.5,5,12,NDJ,25.006381666666666,2.5709137375867837
10,7.5,5,12,NDJ,25.107435000000002,2.847749224625863
1,7.5,6,1,DJF,25.443854333333334,2.8444549667150567
2,7.5,6,1,DJF,25.399642333333336,2.3512510868116077
3,7.5,6,1,DJF,25.45692,1.9521943029172426
4,7.5,6,1,DJF,25.543297666666668,2.4887732326116123
5,7.5,6,1,DJF,25.370048333333333,2.0240237907936756
6,7.5,6,1,DJF,25.289884333333337,2.3422435114598845
7,7.5,6,1,DJF,25.570516333333334,2.405814093789541
8,7.5,6,1,DJF,25.619246999999998,2.5242007920010354
9,7.5,6,1,DJF,25.403781,2.45368522103
10,7.5,6,1,DJF,25.61955233333333,2.6740288039840188
1,7.5,7,2,JFM,26.064676000000002,1.9129967259627616
2,7.5,7,2,JFM,26.223631,1.8250075941196557
3,7.5,7,2,JFM,26.090014,1.9920521669420685
4,7.5,7,2,JFM,26.171696333333333,2.0869305248378196
5,7.5,7,2,JFM,25.988653666666668,1.9931608013550588
6,7.5,7,2,JFM,26.066872666666665,1.933870695316781
7,7.5,7,2,JFM,26.188515,2.367840471053446
8,7.5,7,2,JFM,26.22542333333333,2.41475317478161
9,7.5,7,2,JFM,26.050043000000002,2.388866960449311
10,7.5,7,2,JFM,25.959230666666667,1.997881230254715
1,7.5,8,3,FMA,26.504488666666667,1.5541417000671276
2,7.5,8,3,FMA,26.560963666666666,1.5535016760447153
3,7.5,8,3,FMA,26.664731333333336,1.438384693129196
4,7.5,8,3,FMA,26.58324766666667,1.4119781024598836
5,7.5,8,3,FMA,26.451408333333333,1.2378420293454027
6,7.5,8,3,FMA,26.684656333333333,1.3538728270102296
7,7.5,8,3,FMA,26.815922999999998,1.7062792866079286
8,7.5,8,3,FMA,26.694987333333334,1.5157167396133333
