M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
1,1.5,5,6,MJJ,27.767478999999998,0.3966350827610344
2,1.5,5,6,MJJ,27.783658333333335,0.3864724291936788
3,1.5,5,6,MJJ,27.775887333333333,0.3788118823857481
4,1.5,5,6,MJJ,27.711536333333335,0.4935514263205746
5,1.5,5,6,MJJ,27.704750999999998,0.39531335646448246
6,1.5,5,6,MJJ,27.702959333333336,0.4171417901719543
7,1.5,5,6,MJJ,27.697307000000002,0.32647600805620647
8,1.5,5,6,MJJ,27.71892066666667,0.37756768341333424
9,1.5,5,6,MJJ,27.546046666666665,0.3330867862574713
10,1.5,5,6,MJJ,27.602732,0.32988529373379416
11,1.5,5,6,MJJ,27.580610999999998,0.35112710904379335
12,1.5,5,6,MJJ,27.635889333333335,0.28962295650988423
13,1.5,5,6,MJJ,27.469101000000002,0.36174819729206936
14,1.5,5,6,MJJ,27.479887,0.3951892140355165
15,1.5,5,6,MJJ,27.549578333333333,0.35064576955919513
16,1.5,5,6,MJJ,27.47716,0.39875149302068946
17,1.5,5,6,MJJ,27.430816666666665,0.3501310896160918
18,1.5,5,6,MJJ,27.398910333333333,0.33592698860333176
19,1.5,5,6,MJJ,27.439688999999998,0.41248206242310254
20,1.5,5,6,MJJ,27.44857,0.40053729070344746
21,1.5,5,6,MJJ,27.447634666666666,0.3709361645016097
22,1.5,5,6,MJJ,27.424114999999997,0.344891486301724
23,1.5,5,6,MJJ,27.43868666666667,0.3689945732988508
24,1.5,5,6,MJJ,27.448757666666666,0.371926593990921
1,1.5,6,7,JJA,26.647113,0.47487015528379345
2,1.5,6,7,JJA,26.606234333333337,0.5453591848943682
3,1.5,6,7,JJA,26.653284333333332,0.6069294442047138
4,1.5,6,7,JJA,26.684628,0.6694495841544825
5,1.5,6,7,JJA,26.56119066666667,0.524584939102988
6,1.5,6,7,JJA,26.609044666666666,0.6144738652533335
7,1.5,6,7,JJA,26.625083,0.5360366605872419
8,1.5,6,7,JJA,26.587051666666664,0.48512047044195444
9,1.5,6,7,JJA,26.561075333333335,0.48536445481884977
10,1.5,6,7,JJA,26.580813,0.5573988227734479
11,1.5,6,7,JJA,26.543438,0.5896720924027589
12,1.5,6,7,JJA,26.618746333333334,0.6045309324929888
13,1.5,6,7,JJA,26.569512999999997,0.6463233319872411
14,1.5,6,7,JJA,26.530746,0.6704331554524149
15,1.5,6,7,JJA,26.601650666666668,0.5621539500271265
16,1.5,6,7,JJA,26.52886433333333,0.6907030301909185
17,1.5,6,7,JJA,26.598584000000002,0.7011390425282765
18,1.5,6,7,JJA,26.569931666666665,0.6594083979798862
19,1.5,6,7,JJA,26.590645666666667,0.669358748280575
20,1.5,6,7,JJA,26.566505666666668,0.596219396315056
21,1.5,6,7,JJA,26.666621666666668,0.7430099086557485
22,1.5,6,7,JJA,26.623108,0.763879200513104
23,1.5,6,7,JJA,26.66994,0.7602371066206914
24,1.5,6,7,JJA,26.683222,0.7140887478372391
1,1.5,7,8,JAS,25.954241333333336,0.8888687928395418
2,1.5,7,8,JAS,25.948570333333336,1.0569656412447144
3,1.5,7,8,JAS,25.987389333333333,0.929355919675403
4,1.5,7,8,JAS,25.950013000000002,1.058517595111381
