L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
8.5,0000 1 Sep 1993,300.5959,298.6279,299.8505,301.7049
9.5,0000 1 Sep 1993,300.4598,297.4979,299.2724,301.8677
10.5,0000 1 Sep 1993,300.1929,296.6363,298.7476,301.8939
1.5,0000 1 Oct 1993,299.7649,296.4747,298.2639,302.0881
2.5,0000 1 Oct 1993,299.4209,297.4713,298.2806,301.7422
3.5,0000 1 Oct 1993,299.2184,298.5538,298.5466,301.2875
4.5,0000 1 Oct 1993,299.3708,299.5318,299.1024,301.0315
5.5,0000 1 Oct 1993,299.8247,299.938,299.6945,301.1303
6.5,0000 1 Oct 1993,300.2466,299.4384,299.8613,301.4232
7.5,0000 1 Oct 1993,300.3984,298.3449,299.5699,301.6731
8.5,0000 1 Oct 1993,300.2172,297.1786,298.9709,301.7148
9.5,0000 1 Oct 1993,299.916,296.3376,298.4467,301.6732
10.5,0000 1 Oct 1993,299.67,295.8842,298.1182,301.6562
1.5,0000 1 Nov 1993,299.7392,297.3246,298.6028,301.8051
2.5,0000 1 Nov 1993,299.5072,298.5295,298.7568,301.4302
3.5,0000 1 Nov 1993,299.5692,299.5352,299.1675,301.1747
4.5,0000 1 Nov 1993,299.9164,299.9045,299.6417,301.2459
5.5,0000 1 Nov 1993,300.2721,299.379,299.8072,301.4531
6.5,0000 1 Nov 1993,300.409,298.2243,299.5471,301.641
7.5,0000 1 Nov 1993,300.2529,297.0353,298.9702,301.6866
8.5,0000 1 Nov 1993,299.9845,296.2137,298.4548,301.6934
9.5,0000 1 Nov 1993,299.7486,295.8454,298.1573,301.6995
10.5,0000 1 Nov 1993,299.6238,295.8486,298.0736,301.7377
1.5,0000 1 Dec 1993,299.5998,298.0224,298.7635,301.4352
2.5,0000 1 Dec 1993,299.5826,299.2667,299.0968,301.1839
3.5,0000 1 Dec 1993,299.8708,299.7124,299.4805,301.2173
4.5,0000 1 Dec 1993,300.141,299.2101,299.5787,301.402
5.5,0000 1 Dec 1993,300.2201,298.0821,299.326,301.5403
6.5,0000 1 Dec 1993,300.0441,296.8689,298.7716,301.568
7.5,0000 1 Dec 1993,299.7849,296.0124,298.2678,301.5418
