L,MON,LDC_SST_GEM5_NEMO
2.5,0000 1 Jun 1996,297.5723
3.5,0000 1 Jun 1996,297.3089
4.5,0000 1 Jun 1996,297.2601
5.5,0000 1 Jun 1996,297.2394
6.5,0000 1 Jun 1996,297.2086
7.5,0000 1 Jun 1996,297.1931
8.5,0000 1 Jun 1996,297.2535
9.5,0000 1 Jun 1996,297.4095
10.5,0000 1 Jun 1996,297.5895
1.5,0000 1 Jul 1996,298.3281
2.5,0000 1 Jul 1996,297.8078
3.5,0000 1 Jul 1996,297.7424
4.5,0000 1 Jul 1996,297.7242
5.5,0000 1 Jul 1996,297.6457
6.5,0000 1 Jul 1996,297.6002
7.5,0000 1 Jul 1996,297.6437
8.5,0000 1 Jul 1996,297.8003
9.5,0000 1 Jul 1996,297.9193
10.5,0000 1 Jul 1996,297.8872
