M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
1,3.5,12,3,FMA,27.064431000000003,0.44802130518172445
2,3.5,12,3,FMA,27.050221333333333,0.47953049254988583
3,3.5,12,3,FMA,27.122586000000002,0.5088006508937927
4,3.5,12,3,FMA,27.039949999999997,0.41257423921379205
5,3.5,12,3,FMA,27.027878666666666,0.41400132230850517
6,3.5,12,3,FMA,26.967331,0.6122168257679315
7,3.5,12,3,FMA,27.03950766666667,0.41508755097022887
8,3.5,12,3,FMA,27.033960999999998,0.40027328149896496
9,3.5,12,3,FMA,27.042502,0.39069112215448176
10,3.5,12,3,FMA,27.083744000000003,0.4051138511834489
11,3.5,12,3,FMA,27.04398666666667,0.38424207970574675
12,3.5,12,3,FMA,27.08251,0.43339899901379375
13,3.5,12,3,FMA,27.085952000000002,0.4885587592165513
14,3.5,12,3,FMA,27.00218166666667,0.5094633783178165
15,3.5,12,3,FMA,27.022859666666665,0.3962652055343678
1,4.5,1,5,AMJ,27.587971,0.28345278557482606
2,4.5,1,5,AMJ,27.604879666666665,0.1878484226033335
3,4.5,1,5,AMJ,27.60331066666667,0.170934842151264
4,4.5,1,5,AMJ,27.615692333333335,0.28185097368747136
5,4.5,1,5,AMJ,27.617899333333334,0.16743705759954053
6,4.5,1,5,AMJ,27.532648333333334,0.2470087746833345
7,4.5,1,5,AMJ,27.643017999999998,0.2870204199062081
8,4.5,1,5,AMJ,27.494111999999998,0.17890430816827527
9,4.5,1,5,AMJ,27.569317333333334,0.32932981658574717
10,4.5,1,5,AMJ,27.597644666666667,0.1487328785981616
11,4.5,1,5,AMJ,27.57631233333333,0.185630111101264
12,4.5,1,5,AMJ,27.552122666666666,0.2006945270409194
13,4.5,1,5,AMJ,27.61285566666667,0.16739810182540238
14,4.5,1,5,AMJ,27.626901666666665,0.22535294964195385
15,4.5,1,5,AMJ,27.546004999999997,0.19720055021896576
1,4.5,2,6,MJJ,27.223357333333336,0.2911629865443678
2,4.5,2,6,MJJ,27.190609666666667,0.1649314241619539
3,4.5,2,6,MJJ,27.234702000000002,0.21934246334758456
4,4.5,2,6,MJJ,27.241926,0.19290965690068843
5,4.5,2,6,MJJ,27.262921,0.25747630216103473
6,4.5,2,6,MJJ,27.25430233333333,0.22412593102540107
7,4.5,2,6,MJJ,27.19050233333333,0.30355463488057344
8,4.5,2,6,MJJ,27.241006333333335,0.24680396737574722
9,4.5,2,6,MJJ,27.296128333333336,0.17889002045574734
