M,L,MON,LDC_SST_GFDL_SPEAR
4,2.5,0000 1 Apr 1991,26.82534
5,2.5,0000 1 Apr 1991,26.87877
6,2.5,0000 1 Apr 1991,27.11463
7,2.5,0000 1 Apr 1991,26.71704
8,2.5,0000 1 Apr 1991,26.65409
9,2.5,0000 1 Apr 1991,26.79817
10,2.5,0000 1 Apr 1991,26.89571
11,2.5,0000 1 Apr 1991,26.9305
12,2.5,0000 1 Apr 1991,27.02451
13,2.5,0000 1 Apr 1991,26.96331
14,2.5,0000 1 Apr 1991,26.92049
15,2.5,0000 1 Apr 1991,26.99639
1,3.5,0000 1 Apr 1991,26.44608
2,3.5,0000 1 Apr 1991,26.19405
3,3.5,0000 1 Apr 1991,26.11496
4,3.5,0000 1 Apr 1991,26.12502
5,3.5,0000 1 Apr 1991,26.18085
6,3.5,0000 1 Apr 1991,26.71349
7,3.5,0000 1 Apr 1991,26.18919
8,3.5,0000 1 Apr 1991,25.9111
9,3.5,0000 1 Apr 1991,26.20389
10,3.5,0000 1 Apr 1991,26.25729
11,3.5,0000 1 Apr 1991,26.43146
12,3.5,0000 1 Apr 1991,26.48907
13,3.5,0000 1 Apr 1991,26.46959
14,3.5,0000 1 Apr 1991,26.28708
15,3.5,0000 1 Apr 1991,26.23901
1,4.5,0000 1 Apr 1991,26.02694
2,4.5,0000 1 Apr 1991,25.60089
3,4.5,0000 1 Apr 1991,25.55819
4,4.5,0000 1 Apr 1991,25.64631
5,4.5,0000 1 Apr 1991,25.43104
6,4.5,0000 1 Apr 1991,26.46417
7,4.5,0000 1 Apr 1991,25.71907
8,4.5,0000 1 Apr 1991,25.26604
9,4.5,0000 1 Apr 1991,25.78775
10,4.5,0000 1 Apr 1991,25.74576
11,4.5,0000 1 Apr 1991,25.97322
12,4.5,0000 1 Apr 1991,25.89053
13,4.5,0000 1 Apr 1991,26.18258
14,4.5,0000 1 Apr 1991,25.68406
15,4.5,0000 1 Apr 1991,25.51909
1,5.5,0000 1 Apr 1991,25.8298
2,5.5,0000 1 Apr 1991,25.24825
3,5.5,0000 1 Apr 1991,25.31937
4,5.5,0000 1 Apr 1991,25.46028
5,5.5,0000 1 Apr 1991,24.87245
6,5.5,0000 1 Apr 1991,26.39373
7,5.5,0000 1 Apr 1991,25.37267
8,5.5,0000 1 Apr 1991,25.0514
9,5.5,0000 1 Apr 1991,25.68918
10,5.5,0000 1 Apr 1991,25.53611
11,5.5,0000 1 Apr 1991,25.67934
12,5.5,0000 1 Apr 1991,25.43336
13,5.5,0000 1 Apr 1991,26.10915
14,5.5,0000 1 Apr 1991,25.31762
15,5.5,0000 1 Apr 1991,25.10739
1,6.5,0000 1 Apr 1991,25.71305
2,6.5,0000 1 Apr 1991,25.02621
3,6.5,0000 1 Apr 1991,25.17677
4,6.5,0000 1 Apr 1991,25.51046
5,6.5,0000 1 Apr 1991,24.65359
6,6.5,0000 1 Apr 1991,26.46498
7,6.5,0000 1 Apr 1991,25.13154
8,6.5,0000 1 Apr 1991,25.00944
9,6.5,0000 1 Apr 1991,25.57924
10,6.5,0000 1 Apr 1991,25.48656
11,6.5,0000 1 Apr 1991,25.54625
12,6.5,0000 1 Apr 1991,25.21657
13,6.5,0000 1 Apr 1991,26.10654
14,6.5,0000 1 Apr 1991,25.10918
15,6.5,0000 1 Apr 1991,24.91884
1,7.5,0000 1 Apr 1991,25.59273
2,7.5,0000 1 Apr 1991,24.83993
3,7.5,0000 1 Apr 1991,25.08874
4,7.5,0000 1 Apr 1991,25.54394
5,7.5,0000 1 Apr 1991,24.65242
6,7.5,0000 1 Apr 1991,26.46911
7,7.5,0000 1 Apr 1991,24.94835
8,7.5,0000 1 Apr 1991,24.94994
9,7.5,0000 1 Apr 1991,25.40513
10,7.5,0000 1 Apr 1991,25.41421
11,7.5,0000 1 Apr 1991,25.44182
12,7.5,0000 1 Apr 1991,25.17639
13,7.5,0000 1 Apr 1991,26.08308
14,7.5,0000 1 Apr 1991,24.94276
15,7.5,0000 1 Apr 1991,24.78509
1,8.5,0000 1 Apr 1991,25.46321
2,8.5,0000 1 Apr 1991,24.76798
3,8.5,0000 1 Apr 1991,25.02532
4,8.5,0000 1 Apr 1991,25.55318
5,8.5,0000 1 Apr 1991,24.67625
6,8.5,0000 1 Apr 1991,26.38663
7,8.5,0000 1 Apr 1991,24.72223
8,8.5,0000 1 Apr 1991,24.81777
9,8.5,0000 1 Apr 1991,25.21869
10,8.5,0000 1 Apr 1991,25.28748
11,8.5,0000 1 Apr 1991,25.29971
12,8.5,0000 1 Apr 1991,25.17292
13,8.5,0000 1 Apr 1991,26.04888
14,8.5,0000 1 Apr 1991,24.82737
15,8.5,0000 1 Apr 1991,24.73043
1,9.5,0000 1 Apr 1991,25.40066
2,9.5,0000 1 Apr 1991,24.75142
3,9.5,0000 1 Apr 1991,25.10777
4,9.5,0000 1 Apr 1991,25.63408
5,9.5,0000 1 Apr 1991,24.75278
6,9.5,0000 1 Apr 1991,26.22307
7,9.5,0000 1 Apr 1991,24.56147
8,9.5,0000 1 Apr 1991,24.82453
9,9.5,0000 1 Apr 1991,25.16101
10,9.5,0000 1 Apr 1991,25.26495
11,9.5,0000 1 Apr 1991,25.21249
12,9.5,0000 1 Apr 1991,25.28365
13,9.5,0000 1 Apr 1991,26.04367
14,9.5,0000 1 Apr 1991,24.7817
15,9.5,0000 1 Apr 1991,24.80298
1,10.5,0000 1 Apr 1991,25.46844
2,10.5,0000 1 Apr 1991,24.9636
3,10.5,0000 1 Apr 1991,25.3317
4,10.5,0000 1 Apr 1991,25.86197
5,10.5,0000 1 Apr 1991,25.00932
6,10.5,0000 1 Apr 1991,26.25482
7,10.5,0000 1 Apr 1991,24.62884
8,10.5,0000 1 Apr 1991,25.13915
9,10.5,0000 1 Apr 1991,25.43686
10,10.5,0000 1 Apr 1991,25.53774
11,10.5,0000 1 Apr 1991,25.4034
12,10.5,0000 1 Apr 1991,25.59701
13,10.5,0000 1 Apr 1991,26.1403
14,10.5,0000 1 Apr 1991,25.09379
15,10.5,0000 1 Apr 1991,25.13436
1,1.5,0000 1 May 1991,27.47756
2,1.5,0000 1 May 1991,27.43217
