M,L,MON,LDC_SST_NASA_GEOSS2S
3,4.5,0000 1 Apr 1992,29.63059
4,4.5,0000 1 Apr 1992,29.59295
1,5.5,0000 1 Apr 1992,27.51117
2,5.5,0000 1 Apr 1992,29.29757
3,5.5,0000 1 Apr 1992,29.56075
4,5.5,0000 1 Apr 1992,29.62741
1,6.5,0000 1 Apr 1992,27.19335
2,6.5,0000 1 Apr 1992,29.39117
3,6.5,0000 1 Apr 1992,29.62111
4,6.5,0000 1 Apr 1992,29.82368
1,7.5,0000 1 Apr 1992,26.88681
2,7.5,0000 1 Apr 1992,29.33375
3,7.5,0000 1 Apr 1992,29.70937
4,7.5,0000 1 Apr 1992,29.9965
1,1.5,0000 1 May 1992,29.26196
2,1.5,0000 1 May 1992,29.52689
3,1.5,0000 1 May 1992,28.99173
4,1.5,0000 1 May 1992,29.08507
1,2.5,0000 1 May 1992,28.84165
2,2.5,0000 1 May 1992,29.46489
3,2.5,0000 1 May 1992,28.45996
4,2.5,0000 1 May 1992,28.70221
1,3.5,0000 1 May 1992,28.50084
2,3.5,0000 1 May 1992,29.26332
3,3.5,0000 1 May 1992,27.98867
4,3.5,0000 1 May 1992,28.50509
1,4.5,0000 1 May 1992,28.32749
2,4.5,0000 1 May 1992,29.14884
3,4.5,0000 1 May 1992,28.06523
4,4.5,0000 1 May 1992,28.51433
1,5.5,0000 1 May 1992,28.49385
2,5.5,0000 1 May 1992,28.97568
3,5.5,0000 1 May 1992,28.35993
4,5.5,0000 1 May 1992,28.7315
1,6.5,0000 1 May 1992,28.44833
2,6.5,0000 1 May 1992,28.79003
3,6.5,0000 1 May 1992,28.68047
4,6.5,0000 1 May 1992,28.78103
1,7.5,0000 1 May 1992,28.18887
2,7.5,0000 1 May 1992,28.34406
3,7.5,0000 1 May 1992,28.62305
4,7.5,0000 1 May 1992,28.67796
1,1.5,0000 1 Jun 1992,27.69817
2,1.5,0000 1 Jun 1992,27.63649
3,1.5,0000 1 Jun 1992,27.10766
4,1.5,0000 1 Jun 1992,27.02804
1,2.5,0000 1 Jun 1992,27.1924
2,2.5,0000 1 Jun 1992,27.14167
3,2.5,0000 1 Jun 1992,26.4188
4,2.5,0000 1 Jun 1992,26.24937
1,3.5,0000 1 Jun 1992,27.0685
2,3.5,0000 1 Jun 1992,26.97424
3,3.5,0000 1 Jun 1992,26.06686
4,3.5,0000 1 Jun 1992,25.90716
1,4.5,0000 1 Jun 1992,27.12559
2,4.5,0000 1 Jun 1992,27.23362
3,4.5,0000 1 Jun 1992,25.90978
4,4.5,0000 1 Jun 1992,25.88998
1,5.5,0000 1 Jun 1992,27.13958
2,5.5,0000 1 Jun 1992,27.23709
3,5.5,0000 1 Jun 1992,25.84554
4,5.5,0000 1 Jun 1992,25.78603
1,6.5,0000 1 Jun 1992,26.84685
2,6.5,0000 1 Jun 1992,27.06675
3,6.5,0000 1 Jun 1992,25.8727
4,6.5,0000 1 Jun 1992,25.65237
1,7.5,0000 1 Jun 1992,26.43549
2,7.5,0000 1 Jun 1992,26.85952
3,7.5,0000 1 Jun 1992,25.89708
4,7.5,0000 1 Jun 1992,25.56438
1,1.5,0000 1 Jul 1992,26.82854
2,1.5,0000 1 Jul 1992,26.50682
3,1.5,0000 1 Jul 1992,26.75158
4,1.5,0000 1 Jul 1992,26.22089
1,2.5,0000 1 Jul 1992,26.58305
2,2.5,0000 1 Jul 1992,26.10861
3,2.5,0000 1 Jul 1992,26.34599
4,2.5,0000 1 Jul 1992,25.90376
1,3.5,0000 1 Jul 1992,26.55231
2,3.5,0000 1 Jul 1992,25.87839
3,3.5,0000 1 Jul 1992,26.24101
4,3.5,0000 1 Jul 1992,26.13997
1,4.5,0000 1 Jul 1992,26.50501
2,4.5,0000 1 Jul 1992,25.73951
3,4.5,0000 1 Jul 1992,26.30389
4,4.5,0000 1 Jul 1992,26.369
1,5.5,0000 1 Jul 1992,26.11378
2,5.5,0000 1 Jul 1992,25.6781
3,5.5,0000 1 Jul 1992,26.52976
4,5.5,0000 1 Jul 1992,26.26629
1,6.5,0000 1 Jul 1992,25.43814
2,6.5,0000 1 Jul 1992,25.5457
3,6.5,0000 1 Jul 1992,26.41882
4,6.5,0000 1 Jul 1992,26.08911
1,7.5,0000 1 Jul 1992,25.06061
2,7.5,0000 1 Jul 1992,25.29943
3,7.5,0000 1 Jul 1992,26.1096
4,7.5,0000 1 Jul 1992,26.13754
1,1.5,0000 1 Aug 1992,25.76468
2,1.5,0000 1 Aug 1992,26.01466
