L,M,MON,LDC_SST_CanESM5
4.5,9,0000 1 Mar 1991,300.7114
5.5,9,0000 1 Mar 1991,300.4371
6.5,9,0000 1 Mar 1991,300.3299
7.5,9,0000 1 Mar 1991,300.3925
8.5,9,0000 1 Mar 1991,300.42
9.5,9,0000 1 Mar 1991,300.339
10.5,9,0000 1 Mar 1991,300.2275
1.5,10,0000 1 Mar 1991,301.0862
2.5,10,0000 1 Mar 1991,301.1812
3.5,10,0000 1 Mar 1991,300.9142
4.5,10,0000 1 Mar 1991,300.5056
5.5,10,0000 1 Mar 1991,300.1066
6.5,10,0000 1 Mar 1991,299.8821
7.5,10,0000 1 Mar 1991,299.78
8.5,10,0000 1 Mar 1991,299.7185
9.5,10,0000 1 Mar 1991,299.6042
10.5,10,0000 1 Mar 1991,299.5526
1.5,11,0000 1 Mar 1991,300.9066
2.5,11,0000 1 Mar 1991,300.9037
3.5,11,0000 1 Mar 1991,300.693
4.5,11,0000 1 Mar 1991,300.4173
5.5,11,0000 1 Mar 1991,300.1495
6.5,11,0000 1 Mar 1991,300.0265
7.5,11,0000 1 Mar 1991,299.9435
8.5,11,0000 1 Mar 1991,299.9025
9.5,11,0000 1 Mar 1991,299.804
10.5,11,0000 1 Mar 1991,299.7563
1.5,12,0000 1 Mar 1991,301.123
2.5,12,0000 1 Mar 1991,301.259
3.5,12,0000 1 Mar 1991,301.0623
4.5,12,0000 1 Mar 1991,300.7145
5.5,12,0000 1 Mar 1991,300.4876
6.5,12,0000 1 Mar 1991,300.455
7.5,12,0000 1 Mar 1991,300.4534
8.5,12,0000 1 Mar 1991,300.4214
9.5,12,0000 1 Mar 1991,300.207
10.5,12,0000 1 Mar 1991,300.0102
1.5,13,0000 1 Mar 1991,301.0635
2.5,13,0000 1 Mar 1991,301.0682
3.5,13,0000 1 Mar 1991,300.8022
4.5,13,0000 1 Mar 1991,300.37
5.5,13,0000 1 Mar 1991,299.9964
6.5,13,0000 1 Mar 1991,299.7819
7.5,13,0000 1 Mar 1991,299.6451
8.5,13,0000 1 Mar 1991,299.5142
9.5,13,0000 1 Mar 1991,299.4145
10.5,13,0000 1 Mar 1991,299.5428
1.5,14,0000 1 Mar 1991,301.3787
2.5,14,0000 1 Mar 1991,301.4727
3.5,14,0000 1 Mar 1991,301.2592
4.5,14,0000 1 Mar 1991,300.8374
5.5,14,0000 1 Mar 1991,300.4841
6.5,14,0000 1 Mar 1991,300.2516
