L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
1.5,0000 1 Sep 1993,299.4514,296.0501,298.0558,301.8498
2.5,0000 1 Sep 1993,299.113,296.7766,297.9672,301.4885
3.5,0000 1 Sep 1993,298.8277,297.4967,297.985,301.0601
4.5,0000 1 Sep 1993,298.6718,298.3289,298.2026,300.6243
5.5,0000 1 Sep 1993,298.7214,299.0829,298.5754,300.2992
6.5,0000 1 Sep 1993,298.9592,299.3067,298.936,300.2165
7.5,0000 1 Sep 1993,299.1332,298.6292,298.8696,300.3138
8.5,0000 1 Sep 1993,299.1113,297.4301,298.3953,300.4311
9.5,0000 1 Sep 1993,298.8193,296.1923,297.6464,300.4038
10.5,0000 1 Sep 1993,298.4013,295.3481,297.0426,300.2417
1.5,0000 1 Oct 1993,299.553,296.4142,298.1863,301.8052
2.5,0000 1 Oct 1993,299.1431,297.2923,298.1295,301.3735
3.5,0000 1 Oct 1993,298.8535,298.1883,298.2458,300.861
4.5,0000 1 Oct 1993,298.7983,298.9612,298.5225,300.4723
5.5,0000 1 Oct 1993,298.9282,299.222,298.7936,300.333
6.5,0000 1 Oct 1993,299.0346,298.5298,298.6812,300.3864
7.5,0000 1 Oct 1993,298.9605,297.2738,298.1669,300.4398
8.5,0000 1 Oct 1993,298.6461,296.0279,297.4228,300.3457
9.5,0000 1 Oct 1993,298.2235,295.1861,296.8259,300.1501
10.5,0000 1 Oct 1993,297.8757,294.7703,296.545,299.9488
1.5,0000 1 Nov 1993,299.386,297.0252,298.2935,301.541
2.5,0000 1 Nov 1993,298.9979,298.0778,298.2889,301.0197
3.5,0000 1 Nov 1993,298.8742,298.9165,298.5106,300.5811
4.5,0000 1 Nov 1993,298.9467,299.1278,298.7381,300.3972
5.5,0000 1 Nov 1993,299.0129,298.3758,298.6058,300.3942
6.5,0000 1 Nov 1993,298.9313,297.0606,298.088,300.4268
7.5,0000 1 Nov 1993,298.627,295.8185,297.3483,300.3268
8.5,0000 1 Nov 1993,298.2356,295.0383,296.7875,300.1484
9.5,0000 1 Nov 1993,297.8992,294.7143,296.5287,299.9598
10.5,0000 1 Nov 1993,297.7312,294.7523,296.5348,299.8352
1.5,0000 1 Dec 1993,299.22,297.8029,298.4482,301.1587
2.5,0000 1 Dec 1993,298.9884,298.8376,298.5685,300.716
3.5,0000 1 Dec 1993,299.0548,299.1019,298.7523,300.5302
4.5,0000 1 Dec 1993,299.101,298.3872,298.6269,300.5196
5.5,0000 1 Dec 1993,298.9933,297.0793,298.1234,300.5106
6.5,0000 1 Dec 1993,298.6535,295.8134,297.3675,300.3988
7.5,0000 1 Dec 1993,298.2521,295.0176,296.7893,300.1851
8.5,0000 1 Dec 1993,297.9224,294.6757,296.5299,299.9904
9.5,0000 1 Dec 1993,297.7502,294.7484,296.5502,299.8481
10.5,0000 1 Dec 1993,297.6883,295.1974,296.6716,299.746
1.5,0000 1 Jan 1994,299.4419,298.8662,299.006,301.0641
