L,M,MON,LDC_SST_GEM52_NEMO
4.5,11,0000 1 Mar 1991,298.6255
5.5,11,0000 1 Mar 1991,297.8911
6.5,11,0000 1 Mar 1991,297.4507
7.5,11,0000 1 Mar 1991,297.306
8.5,11,0000 1 Mar 1991,297.231
9.5,11,0000 1 Mar 1991,297.2591
10.5,11,0000 1 Mar 1991,297.4299
1.5,12,0000 1 Mar 1991,300.4043
2.5,12,0000 1 Mar 1991,300.1905
3.5,12,0000 1 Mar 1991,299.8394
4.5,12,0000 1 Mar 1991,299.4626
5.5,12,0000 1 Mar 1991,299.2271
6.5,12,0000 1 Mar 1991,299.0735
7.5,12,0000 1 Mar 1991,299.0032
8.5,12,0000 1 Mar 1991,298.9102
9.5,12,0000 1 Mar 1991,298.8738
10.5,12,0000 1 Mar 1991,298.8961
1.5,13,0000 1 Mar 1991,300.3963
2.5,13,0000 1 Mar 1991,300.1146
3.5,13,0000 1 Mar 1991,299.5723
4.5,13,0000 1 Mar 1991,298.9872
5.5,13,0000 1 Mar 1991,298.5614
6.5,13,0000 1 Mar 1991,298.2988
7.5,13,0000 1 Mar 1991,298.1333
8.5,13,0000 1 Mar 1991,297.9306
9.5,13,0000 1 Mar 1991,297.8101
10.5,13,0000 1 Mar 1991,297.7596
1.5,14,0000 1 Mar 1991,300.4401
2.5,14,0000 1 Mar 1991,300.2999
3.5,14,0000 1 Mar 1991,299.8035
4.5,14,0000 1 Mar 1991,298.9993
5.5,14,0000 1 Mar 1991,298.3157
6.5,14,0000 1 Mar 1991,297.857
7.5,14,0000 1 Mar 1991,297.5908
8.5,14,0000 1 Mar 1991,297.3969
9.5,14,0000 1 Mar 1991,297.2954
10.5,14,0000 1 Mar 1991,297.197
1.5,15,0000 1 Mar 1991,300.4919
2.5,15,0000 1 Mar 1991,300.2971
3.5,15,0000 1 Mar 1991,299.7601
4.5,15,0000 1 Mar 1991,299.0645
5.5,15,0000 1 Mar 1991,298.471
6.5,15,0000 1 Mar 1991,298.1353
7.5,15,0000 1 Mar 1991,298.0203
8.5,15,0000 1 Mar 1991,297.9299
9.5,15,0000 1 Mar 1991,297.8037
10.5,15,0000 1 Mar 1991,297.6259
1.5,16,0000 1 Mar 1991,300.342
2.5,16,0000 1 Mar 1991,300.2288
3.5,16,0000 1 Mar 1991,299.8582
4.5,16,0000 1 Mar 1991,299.367
5.5,16,0000 1 Mar 1991,298.8003
6.5,16,0000 1 Mar 1991,298.3372
7.5,16,0000 1 Mar 1991,297.879
8.5,16,0000 1 Mar 1991,297.4814
9.5,16,0000 1 Mar 1991,297.1112
10.5,16,0000 1 Mar 1991,296.9508
1.5,17,0000 1 Mar 1991,300.3168
2.5,17,0000 1 Mar 1991,300.145
3.5,17,0000 1 Mar 1991,299.6923
4.5,17,0000 1 Mar 1991,299.0457
5.5,17,0000 1 Mar 1991,298.4501
6.5,17,0000 1 Mar 1991,298.0804
7.5,17,0000 1 Mar 1991,297.9365
8.5,17,0000 1 Mar 1991,297.8306
9.5,17,0000 1 Mar 1991,297.7506
10.5,17,0000 1 Mar 1991,297.6722
1.5,18,0000 1 Mar 1991,300.408
2.5,18,0000 1 Mar 1991,300.1692
3.5,18,0000 1 Mar 1991,299.5758
4.5,18,0000 1 Mar 1991,298.8319
5.5,18,0000 1 Mar 1991,298.3864
6.5,18,0000 1 Mar 1991,298.1137
7.5,18,0000 1 Mar 1991,297.8902
8.5,18,0000 1 Mar 1991,297.5927
9.5,18,0000 1 Mar 1991,297.4204
10.5,18,0000 1 Mar 1991,297.4146
1.5,19,0000 1 Mar 1991,300.1958
2.5,19,0000 1 Mar 1991,300.0402
3.5,19,0000 1 Mar 1991,299.4771
4.5,19,0000 1 Mar 1991,298.5275
5.5,19,0000 1 Mar 1991,297.5867
6.5,19,0000 1 Mar 1991,297.0468
7.5,19,0000 1 Mar 1991,296.9874
8.5,19,0000 1 Mar 1991,296.9616
9.5,19,0000 1 Mar 1991,296.8921
10.5,19,0000 1 Mar 1991,296.8842
1.5,20,0000 1 Mar 1991,300.5991
2.5,20,0000 1 Mar 1991,300.6672
3.5,20,0000 1 Mar 1991,300.4254
4.5,20,0000 1 Mar 1991,300.011
5.5,20,0000 1 Mar 1991,299.5984
6.5,20,0000 1 Mar 1991,299.3667
7.5,20,0000 1 Mar 1991,299.2844
8.5,20,0000 1 Mar 1991,299.246
