L,MON,LDC_SST_COLA_CESM1,LDC_SST_COLA_CESM1_ONETWO,LDC_SST_COLA_CESM1_THREE,LDC_SST_COLA_CESM1_FOUR
1.5,0000 1 Nov 1993,26.25306,21.74265,24.86537,28.29448
2.5,0000 1 Nov 1993,25.6447,22.35806,24.60546,27.84508
3.5,0000 1 Nov 1993,25.29454,22.86522,24.47464,27.49024
4.5,0000 1 Nov 1993,25.4742,22.92225,24.67177,27.41195
5.5,0000 1 Nov 1993,25.94318,22.40849,24.99969,27.56363
6.5,0000 1 Nov 1993,26.25998,21.4865,25.08395,27.73972
7.5,0000 1 Nov 1993,26.11497,20.50075,24.64352,27.67233
8.5,0000 1 Nov 1993,25.51379,19.6857,23.79278,27.2831
9.5,0000 1 Nov 1993,24.72258,19.1797,22.92935,26.74533
10.5,0000 1 Nov 1993,24.06528,19.09865,22.37518,26.32937
1.5,0000 1 Dec 1993,26.0913,22.28626,25.00158,27.96207
2.5,0000 1 Dec 1993,25.68324,23.06344,24.88352,27.55047
3.5,0000 1 Dec 1993,25.68857,23.13459,24.89083,27.4489
4.5,0000 1 Dec 1993,26.07363,22.48606,25.06163,27.62462
5.5,0000 1 Dec 1993,26.35475,21.42049,25.03813,27.82364
6.5,0000 1 Dec 1993,26.14306,20.39694,24.53974,27.75876
7.5,0000 1 Dec 1993,25.44902,19.55813,23.65422,27.32849
8.5,0000 1 Dec 1993,24.584,19.07452,22.78404,26.70531
9.5,0000 1 Dec 1993,23.89861,19.08275,22.26977,26.22555
10.5,0000 1 Dec 1993,23.64733,19.52378,22.19029,26.03014
1.5,0000 1 Jan 1994,26.10984,23.22487,25.31477,27.79083
2.5,0000 1 Jan 1994,26.14961,23.27066,25.33704,27.66653
3.5,0000 1 Jan 1994,26.30283,22.52592,25.19635,27.79593
4.5,0000 1 Jan 1994,26.37902,21.23981,24.90416,27.96026
5.5,0000 1 Jan 1994,26.08539,19.99016,24.27209,27.8562
6.5,0000 1 Jan 1994,25.36489,19.13768,23.41906,27.3865
7.5,0000 1 Jan 1994,24.543,18.76609,22.61243,26.76588
8.5,0000 1 Jan 1994,23.9496,18.86464,22.17984,26.28288
9.5,0000 1 Jan 1994,23.7903,19.38163,22.20236,26.12302
10.5,0000 1 Jan 1994,23.89705,20.22343,22.53677,26.1424
1.5,0000 1 Feb 1994,26.71343,23.79961,25.88945,28.03503
2.5,0000 1 Feb 1994,26.86546,22.85686,25.66781,28.23183
3.5,0000 1 Feb 1994,26.85225,21.389,25.2021,28.4315
4.5,0000 1 Feb 1994,26.47513,19.95002,24.41287,28.37698
5.5,0000 1 Feb 1994,25.67013,18.98464,23.49057,27.88845
6.5,0000 1 Feb 1994,24.72262,18.64976,22.64091,27.17477
