M,L,MON,LDC_SST_NCEP_CFSv2
13,6.5,0000 1 Mar 1991,27.5387
14,6.5,0000 1 Mar 1991,26.6439
15,6.5,0000 1 Mar 1991,27.17038
16,6.5,0000 1 Mar 1991,26.50398
17,6.5,0000 1 Mar 1991,28.45262
18,6.5,0000 1 Mar 1991,26.78938
19,6.5,0000 1 Mar 1991,26.48237
20,6.5,0000 1 Mar 1991,27.72205
21,6.5,0000 1 Mar 1991,27.2755
22,6.5,0000 1 Mar 1991,26.10302
23,6.5,0000 1 Mar 1991,26.94197
24,6.5,0000 1 Mar 1991,26.2337
1,7.5,0000 1 Mar 1991,25.03571
2,7.5,0000 1 Mar 1991,25.70601
3,7.5,0000 1 Mar 1991,25.11267
4,7.5,0000 1 Mar 1991,25.8484
5,7.5,0000 1 Mar 1991,26.10109
6,7.5,0000 1 Mar 1991,26.05589
7,7.5,0000 1 Mar 1991,26.88547
8,7.5,0000 1 Mar 1991,25.20337
9,7.5,0000 1 Mar 1991,26.70468
10,7.5,0000 1 Mar 1991,26.72773
11,7.5,0000 1 Mar 1991,28.38585
12,7.5,0000 1 Mar 1991,26.38644
13,7.5,0000 1 Mar 1991,27.81194
14,7.5,0000 1 Mar 1991,26.47416
15,7.5,0000 1 Mar 1991,27.23694
16,7.5,0000 1 Mar 1991,26.56001
17,7.5,0000 1 Mar 1991,28.7365
18,7.5,0000 1 Mar 1991,26.76246
19,7.5,0000 1 Mar 1991,26.48923
20,7.5,0000 1 Mar 1991,28.07476
21,7.5,0000 1 Mar 1991,27.54626
22,7.5,0000 1 Mar 1991,26.00865
23,7.5,0000 1 Mar 1991,27.1256
24,7.5,0000 1 Mar 1991,26.08517
1,8.5,0000 1 Mar 1991,25.26314
2,8.5,0000 1 Mar 1991,26.06137
3,8.5,0000 1 Mar 1991,25.32388
4,8.5,0000 1 Mar 1991,26.23858
5,8.5,0000 1 Mar 1991,26.21914
6,8.5,0000 1 Mar 1991,26.59051
7,8.5,0000 1 Mar 1991,27.20202
8,8.5,0000 1 Mar 1991,25.35794
9,8.5,0000 1 Mar 1991,27.05202
10,8.5,0000 1 Mar 1991,27.21983
11,8.5,0000 1 Mar 1991,28.50919
12,8.5,0000 1 Mar 1991,26.98523
13,8.5,0000 1 Mar 1991,28.16852
14,8.5,0000 1 Mar 1991,26.70488
15,8.5,0000 1 Mar 1991,27.60699
16,8.5,0000 1 Mar 1991,26.99305
17,8.5,0000 1 Mar 1991,28.91595
18,8.5,0000 1 Mar 1991,27.25999
19,8.5,0000 1 Mar 1991,26.61972
20,8.5,0000 1 Mar 1991,28.61217
21,8.5,0000 1 Mar 1991,28.05208
22,8.5,0000 1 Mar 1991,26.18312
23,8.5,0000 1 Mar 1991,27.5463
24,8.5,0000 1 Mar 1991,26.2025
1,1.5,0000 1 Apr 1991,28.10096
2,1.5,0000 1 Apr 1991,27.82562
3,1.5,0000 1 Apr 1991,27.96418
4,1.5,0000 1 Apr 1991,28.05966
5,1.5,0000 1 Apr 1991,28.10683
6,1.5,0000 1 Apr 1991,27.78142
7,1.5,0000 1 Apr 1991,27.86235
8,1.5,0000 1 Apr 1991,27.78289
9,1.5,0000 1 Apr 1991,27.99332
10,1.5,0000 1 Apr 1991,27.83448
11,1.5,0000 1 Apr 1991,28.04253
12,1.5,0000 1 Apr 1991,28.25015
13,1.5,0000 1 Apr 1991,28.01932
14,1.5,0000 1 Apr 1991,28.03927
15,1.5,0000 1 Apr 1991,28.09785
16,1.5,0000 1 Apr 1991,27.91243
17,1.5,0000 1 Apr 1991,28.20244
18,1.5,0000 1 Apr 1991,28.00202
19,1.5,0000 1 Apr 1991,27.94798
20,1.5,0000 1 Apr 1991,27.8623
21,1.5,0000 1 Apr 1991,27.73715
22,1.5,0000 1 Apr 1991,27.91965
23,1.5,0000 1 Apr 1991,28.05674
24,1.5,0000 1 Apr 1991,27.79739
1,2.5,0000 1 Apr 1991,28.18067
2,2.5,0000 1 Apr 1991,27.67088
